bear,GMT.Date,GMT.Time,Latitude,Longitude,Date.Time,UTM_X,UTM_Y,Local.Date.Time,Year,Month,Day,Hour,Timelag.min,Traveldist,Velocity,sun.azimuth,moonphase
33487,23.06.2016,0:01:00,30.88317,-88.08063,6/23/16 0:01,396708.0336,3417154.37,6/22/16 19:01,16,6,22,19,NA,0,NA,291.1268613,Full
33487,23.06.2016,1:01:00,30.88321,-88.08058,6/23/16 1:01,396712.856,3417158.757,6/22/16 20:01,16,6,22,20,60,6.519349301,0.108655822,298.4178743,Full
33487,23.06.2016,2:00:00,30.8832,-88.08063,6/23/16 2:00,396708.0658,3417157.695,6/22/16 21:00,16,6,22,21,59,4.906568436,0.083162177,306.8028087,Full
33487,23.06.2016,3:00:00,30.8832,-88.08068,6/23/16 3:00,396703.2863,3417157.741,6/22/16 22:00,16,6,22,22,60,4.779740278,0.079662338,317.1189005,Full
33487,23.06.2016,4:00:00,30.8832,-88.08061,6/23/16 4:00,396709.9776,3417157.676,6/22/16 23:00,16,6,22,23,60,6.691636373,0.111527273,329.7560917,Full
33487,23.06.2016,5:00:00,30.88313,-88.08054,6/23/16 5:00,396716.5938,3417149.853,6/23/16 0:00,16,6,23,0,60,10.24570684,0.170761781,344.8359395,Full
33487,23.06.2016,6:00:00,30.88315,-88.0806,6/23/16 6:00,396710.8798,3417152.126,6/23/16 1:00,16,6,23,1,60,6.149159183,0.102485986,1.527447732,Full
33487,23.06.2016,7:00:00,30.88309,-88.08074,6/23/16 7:00,396697.4328,3417145.605,6/23/16 2:00,16,6,23,2,60,14.94450655,0.249075109,18.0423363,Full
33487,23.06.2016,8:00:00,30.88301,-88.07982,6/23/16 8:00,396785.2902,3417135.887,6/23/16 3:00,16,6,23,3,60,88.39321442,1.47322024,32.71029222,Full
33487,23.06.2016,9:00:00,30.87903,-88.07491,6/23/16 9:00,397250.3914,3416690.244,6/23/16 4:00,16,6,23,4,60,644.1405965,10.73567661,44.90253548,Full
33487,23.06.2016,10:01:00,30.87199,-88.07753,6/23/16 10:01,396992.4029,3415912.399,6/23/16 5:01,16,6,23,5,61,819.5124425,13.43463021,55.00267822,Full
33487,23.06.2016,11:00:00,30.86493,-88.0852,6/23/16 11:00,396251.5348,3415137.025,6/23/16 6:00,16,6,23,6,59,1072.422874,18.17665888,63.10580283,Full
33487,23.06.2016,12:01:00,30.86514,-88.08362,6/23/16 12:01,396402.8221,3415158.833,6/23/16 7:01,16,6,23,7,61,152.8510281,2.505754559,70.3253415,Full
33487,23.06.2016,13:00:00,30.86685,-88.08162,6/23/16 13:00,396595.8745,3415346.502,6/23/16 8:00,16,6,23,8,59,269.2377646,4.563351942,76.67614643,Full
33487,23.06.2016,14:00:00,30.86705,-88.08201,6/23/16 14:00,396558.8027,3415369.03,6/23/16 9:00,16,6,23,9,60,43.37987286,0.722997881,83.01052702,Full
33487,23.06.2016,15:00:00,30.86701,-88.08195,6/23/16 15:00,396564.4961,3415364.541,6/23/16 10:00,16,6,23,10,60,7.250179647,0.120836327,89.97102051,Full
33487,23.06.2016,16:00:00,30.87383,-88.08463,6/23/16 16:00,396315.6137,3416122.903,6/23/16 11:00,16,6,23,11,60,798.1579479,13.30263246,99.31867454,Full
33487,23.06.2016,17:00:00,30.87384,-88.08456,6/23/16 17:00,396322.3164,3416123.947,6/23/16 12:00,16,6,23,12,60,6.783457478,0.113057625,118.2713832,Full
33487,23.06.2016,18:00:00,30.87396,-88.08541,6/23/16 18:00,396241.186,3416138.036,6/23/16 13:00,16,6,23,13,60,82.34478525,1.372413088,189.2788831,Full
33487,23.06.2016,19:00:00,30.87402,-88.08482,6/23/16 19:00,396297.6543,3416144.138,6/23/16 14:00,16,6,23,14,60,56.79706975,0.946617829,246.7052808,Full
33487,23.06.2016,20:00:00,30.87407,-88.0848,6/23/16 20:00,396299.6202,3416149.661,6/23/16 15:00,16,6,23,15,60,5.86246687,0.097707781,262.6647576,Full
33487,23.06.2016,21:00:00,30.87397,-88.08473,6/23/16 21:00,396306.2045,3416138.513,6/23/16 16:00,16,6,23,16,60,12.94745141,0.215790857,271.3502555,Full
33487,23.06.2016,22:01:00,30.87414,-88.08479,6/23/16 22:01,396300.6516,3416157.41,6/23/16 17:01,16,6,23,17,61,19.69620685,0.322888637,278.2258792,Full
33487,23.06.2016,23:00:00,30.87411,-88.08475,6/23/16 23:00,396304.4432,3416154.048,6/23/16 18:00,16,6,23,18,59,5.067609102,0.08589168,284.4324168,Full
33487,25.06.2016,0:01:00,30.87408,-88.0848,6/25/16 0:01,396299.631,3416150.769,6/24/16 19:01,16,6,24,19,1501,5.82295232,0.003879382,291.0406091,Waning
33487,25.06.2016,1:00:00,30.87428,-88.08675,6/25/16 1:00,396113.4278,3416174.749,6/24/16 20:00,16,6,24,20,59,187.7408829,3.182048862,298.1967016,Waning
33487,25.06.2016,2:00:00,30.8732,-88.07901,6/25/16 2:00,396852.2089,3416047.873,6/24/16 21:00,16,6,24,21,60,749.5965729,12.49327622,306.7032062,Waning
33487,25.06.2016,3:00:00,30.87325,-88.07901,6/25/16 3:00,396852.2624,3416053.414,6/24/16 22:00,16,6,24,22,60,5.541874571,0.092364576,317.0075801,Waning
33487,25.06.2016,4:00:00,30.8731,-88.07913,6/25/16 4:00,396840.6297,3416036.9,6/24/16 23:00,16,6,24,23,60,20.19978116,0.336663019,329.6330319,Waning
33487,25.06.2016,5:00:00,30.87311,-88.07904,6/25/16 5:00,396849.2444,3416037.926,6/25/16 0:00,16,6,25,0,60,8.675525097,0.144592085,344.7076981,Waning
33487,25.06.2016,6:00:00,30.87326,-88.07904,6/25/16 6:00,396849.4051,3416054.55,6/25/16 1:00,16,6,25,1,60,16.62562373,0.277093729,1.408106681,Waning
33487,25.06.2016,7:00:00,30.87335,-88.07896,6/25/16 7:00,396857.1495,3416064.451,6/25/16 2:00,16,6,25,2,60,12.57002856,0.209500476,17.94581637,Waning
33487,25.06.2016,8:00:00,30.87338,-88.08016,6/25/16 8:00,396742.4616,3416068.886,6/25/16 3:00,16,6,25,3,60,114.7736328,1.912893879,32.64127613,Waning
33487,25.06.2016,9:00:00,30.88498,-88.07935,6/25/16 9:00,396832.3293,3417353.793,6/25/16 4:00,16,6,25,4,60,1288.04603,21.46743384,44.85750357,Waning
33487,25.06.2016,10:01:00,30.88673,-88.08038,6/25/16 10:01,396735.7507,3417548.702,6/25/16 5:01,16,6,25,5,61,217.5251081,3.565985379,54.97604967,Waning
33487,25.06.2016,11:00:00,30.88675,-88.08035,6/25/16 11:00,396738.6398,3417550.891,6/25/16 6:00,16,6,25,6,59,3.624627872,0.061434371,63.09222892,Waning
33487,25.06.2016,12:01:00,30.88677,-88.08032,6/25/16 12:01,396741.5288,3417553.08,6/25/16 7:01,16,6,25,7,61,3.624627377,0.059420121,70.32208964,Waning
33487,25.06.2016,13:00:00,30.88683,-88.08031,6/25/16 13:00,396742.5491,3417559.721,6/25/16 8:00,16,6,25,8,59,6.718615697,0.113874842,76.68122783,Waning
33487,25.06.2016,14:00:00,30.88682,-88.08042,6/25/16 14:00,396732.0238,3417558.714,6/25/16 9:00,16,6,25,9,60,10.57328684,0.176221447,83.02344461,Waning
33487,25.06.2016,15:00:00,30.88245,-88.08043,6/25/16 15:00,396726.3792,3417074.386,6/25/16 10:00,16,6,25,10,60,484.3617872,8.072696453,89.99126129,Waning
33487,25.06.2016,16:00:00,30.88138,-88.0832,6/25/16 16:00,396460.441,3416958.361,6/25/16 11:00,16,6,25,11,60,290.1461389,4.835768982,99.34041498,Waning
33487,25.06.2016,17:00:00,30.8813,-88.08316,6/25/16 17:00,396464.1786,3416949.457,6/25/16 12:00,16,6,25,12,60,9.656396876,0.160939948,118.2204441,Waning
33487,25.06.2016,18:01:00,30.88134,-88.08322,6/25/16 18:01,396458.4861,3416953.946,6/25/16 13:01,16,6,25,13,61,7.249514061,0.118844493,190.2005275,Waning
33487,25.06.2016,19:00:00,30.8818,-88.08284,6/25/16 19:00,396495.3058,3417004.577,6/25/16 14:00,16,6,25,14,59,62.60298233,1.061067497,246.3640387,Waning
33487,25.06.2016,20:00:00,30.88129,-88.08325,6/25/16 20:00,396455.5646,3416948.433,6/25/16 15:00,16,6,25,15,60,68.78621821,1.14643697,262.4852297,Waning
33487,25.06.2016,21:00:00,30.88394,-88.08149,6/25/16 21:00,396626.6528,3417240.507,6/25/16 16:00,16,6,25,16,60,338.4949308,5.64158218,271.2216872,Waning
33487,26.06.2016,0:01:00,30.88493,-88.07753,6/26/16 0:01,397006.2469,3417346.57,6/25/16 19:01,16,6,25,19,181,394.1331995,2.177531489,290.9886884,Waning
