bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,06.08.2016,1:02:00,30.9086,-88.04914
33488,06.08.2016,2:02:00,30.90856,-88.04878
33488,06.08.2016,3:02:00,30.90718,-88.0485
33488,06.08.2016,4:02:00,30.90595,-88.04728
33488,06.08.2016,5:02:00,30.90511,-88.04319
33488,06.08.2016,6:02:00,30.90289,-88.04113
33488,06.08.2016,7:02:00,30.90293,-88.04244
33488,06.08.2016,8:02:00,30.90287,-88.04241
33488,06.08.2016,9:02:00,30.9028,-88.04101
33488,06.08.2016,10:02:00,30.90279,-88.04106
33488,06.08.2016,11:02:00,30.90386,-88.04359
33488,06.08.2016,12:02:00,30.9052,-88.04532
33488,06.08.2016,13:02:00,30.90565,-88.04419
33488,06.08.2016,14:02:00,30.90582,-88.04415
33488,06.08.2016,15:02:00,30.90585,-88.04421
33488,06.08.2016,16:02:00,30.9058,-88.04423
33488,06.08.2016,17:02:00,30.90577,-88.04421
33488,06.08.2016,18:02:00,30.90586,-88.0443
33488,06.08.2016,19:02:00,30.90583,-88.04434
33488,06.08.2016,20:02:00,30.90577,-88.04367
33488,06.08.2016,21:02:00,30.90642,-88.04262
33488,06.08.2016,22:02:00,30.90746,-88.04335
33488,07.08.2016,1:00:00,30.90938,-88.04294
33488,07.08.2016,2:00:00,30.9078,-88.04309
33488,07.08.2016,3:00:00,30.90681,-88.04161
33488,07.08.2016,4:00:00,30.9051,-88.04095
33488,07.08.2016,5:00:00,30.90534,-88.05173
33488,07.08.2016,6:00:00,30.90538,-88.05167
33488,07.08.2016,7:00:00,30.90464,-88.0561
33488,07.08.2016,8:00:00,30.90403,-88.06198
33488,07.08.2016,9:00:00,30.90198,-88.06376
33488,07.08.2016,10:00:00,30.9011,-88.06365
33488,07.08.2016,11:00:00,30.90038,-88.06484
33488,07.08.2016,12:00:00,30.89882,-88.06038
33488,07.08.2016,13:00:00,30.89907,-88.0577
33488,07.08.2016,14:00:00,30.89878,-88.04993
33488,07.08.2016,15:00:00,30.89895,-88.04883
33488,07.08.2016,16:00:00,30.89899,-88.04893
33488,07.08.2016,17:00:00,30.89881,-88.04886
33488,07.08.2016,18:00:00,30.89921,-88.04893
33488,07.08.2016,19:00:00,30.89892,-88.04885
33488,07.08.2016,20:00:00,30.89908,-88.0489
33488,07.08.2016,21:00:00,30.89891,-88.04868
33488,07.08.2016,22:00:00,30.89916,-88.04882
33488,08.08.2016,1:02:00,30.90063,-88.04837
33488,08.08.2016,2:02:00,30.90261,-88.04943
33488,08.08.2016,3:02:00,30.9047,-88.05001
33488,08.08.2016,4:02:00,30.90603,-88.05065
33488,08.08.2016,5:02:00,30.9069,-88.04878
33488,08.08.2016,6:02:00,30.907,-88.04756
33488,08.08.2016,7:02:00,30.90692,-88.04761
33488,08.08.2016,8:02:00,30.90851,-88.04731
33488,08.08.2016,9:02:00,30.90978,-88.04822
33488,08.08.2016,10:02:00,30.91069,-88.04731
33488,08.08.2016,11:02:00,30.90714,-88.04845
33488,08.08.2016,12:02:00,30.90712,-88.0485
33488,08.08.2016,13:02:00,30.90708,-88.04842
33488,08.08.2016,14:02:00,30.9055,-88.04764
33488,08.08.2016,15:02:00,30.90193,-88.04611
33488,08.08.2016,16:02:00,30.90197,-88.04416
33488,08.08.2016,17:02:00,30.9021,-88.04412
33488,08.08.2016,18:02:00,30.90196,-88.04419
33488,08.08.2016,19:02:00,30.90202,-88.04428
