"bear","GMT.Date","GMT.Time","Latitude","Longitude","Date.Time","UTM_X","UTM_Y","Local.Date.Time","Year","Month","Day","Hour","Timelag.min","Traveldist","Velocity","sun.azimuth","moonphase"
33488,"06.08.2016","1:02:00",30.9086,-88.04914,2016-08-06 01:02:00,399744.669509008,3419944.11270794,2016-08-05 20:02:00,"16","08","05","20",NA,0,NA,292.445082460813,"New"
33488,"06.08.2016","2:02:00",30.90856,-88.04878,2016-08-06 02:02:00,399779.031081406,3419939.35584189,2016-08-05 21:02:00,"16","08","05","21",60,34.6892696985435,0.578154494975724,301.225902727003,"New"
33488,"06.08.2016","3:02:00",30.90718,-88.0485,2016-08-06 03:02:00,399804.351327063,3419786.15558661,2016-08-05 22:02:00,"16","08","05","22",60,155.278565997456,2.58797609995761,311.937586668363,"New"
33488,"06.08.2016","4:02:00",30.90595,-88.04728,2016-08-06 04:02:00,399919.661833668,3419648.73643029,2016-08-05 23:02:00,"16","08","05","23",60,179.389346001907,2.98982243336512,325.415386898146,"New"
33488,"06.08.2016","5:02:00",30.90511,-88.04319,2016-08-06 05:02:00,400309.660939384,3419551.97446835,2016-08-06 00:02:00,"16","08","06","00",60,401.823567922751,6.69705946537919,342.138265731414,"New"
33488,"06.08.2016","6:02:00",30.90289,-88.04113,2016-08-06 06:02:00,400504.234442351,3419304.08761551,2016-08-06 01:02:00,"16","08","06","01",60,315.12971911276,5.25216198521267,1.23789231643771,"New"
33488,"06.08.2016","7:02:00",30.90293,-88.04244,2016-08-06 07:02:00,400379.078927291,3419309.69015859,2016-08-06 02:02:00,"16","08","06","02",60,125.280850248201,2.08801417080335,20.1616535696462,"New"
33488,"06.08.2016","8:02:00",30.90287,-88.04241,2016-08-06 08:02:00,400381.883888791,3419303.01343434,2016-08-06 03:02:00,"16","08","06","03",60,7.24199252557889,0.120699875426315,36.5028732348238,"New"
33488,"06.08.2016","9:02:00",30.9028,-88.04101,2016-08-06 09:02:00,400515.609774156,3419294.00568745,2016-08-06 04:02:00,"16","08","06","04",60,134.02892195567,2.23381536592783,49.6107644999066,"New"
33488,"06.08.2016","10:02:00",30.90279,-88.04106,2016-08-06 10:02:00,400510.820917122,3419292.94196174,2016-08-06 05:02:00,"16","08","06","05",60,4.90557479551919,0.0817595799253199,60.0529945280608,"New"
33488,"06.08.2016","11:02:00",30.90386,-88.04359,2016-08-06 11:02:00,400270.137561742,3419413.79177299,2016-08-06 06:02:00,"16","08","06","06",60,269.31979956148,4.48866332602466,68.6684184397727,"New"
33488,"06.08.2016","12:02:00",30.9052,-88.04532,2016-08-06 12:02:00,400106.194546366,3419563.85511742,2016-08-06 07:02:00,"16","08","06","07",60,222.252828177301,3.70421380295502,76.2027511103823,"New"
