bear,year,juliandate,juliandate,GMT.Date,hour,minute,GMT.Time,Latitude,Longitude
33491,16,329,16329,24.11.2016,20,:00,20:00:00,30.89333,-88.10741
33491,16,329,16329,24.11.2016,21,:00,21:00:00,30.90487,-88.1008
33491,16,329,16329,24.11.2016,22,:00,22:00:00,30.90491,-88.10083
33491,16,329,16329,24.11.2016,23,:03,23:03:00,30.90426,-88.09308
33491,16,330,16330,25.11.2016,0,:01,0:01:00,30.90394,-88.09304
33491,16,330,16330,25.11.2016,1,:00,1:00:00,30.90384,-88.09294
33491,16,330,16330,25.11.2016,2,:00,2:00:00,30.90414,-88.09349
33491,16,330,16330,25.11.2016,3,:01,3:01:00,30.904,-88.09294
33491,16,330,16330,25.11.2016,4,:00,4:00:00,30.90394,-88.09287
33491,16,330,16330,25.11.2016,5,:00,5:00:00,30.90391,-88.0929
33491,16,330,16330,25.11.2016,6,:00,6:00:00,30.9042,-88.09304
33491,16,330,16330,25.11.2016,7,:00,7:00:00,30.90456,-88.09304
33491,16,330,16330,25.11.2016,8,:00,8:00:00,30.90217,-88.09385
33491,16,330,16330,25.11.2016,9,:00,9:00:00,30.90187,-88.09397
33491,16,330,16330,25.11.2016,10,:03,10:03:00,30.90176,-88.09403
33491,16,330,16330,25.11.2016,11,:01,11:01:00,30.90179,-88.09407
33491,16,330,16330,25.11.2016,12,:00,12:00:00,30.90012,-88.09352
33491,16,330,16330,25.11.2016,13,:00,13:00:00,30.90021,-88.09365
33491,16,330,16330,25.11.2016,14,:01,14:01:00,30.89953,-88.09255
33491,16,330,16330,25.11.2016,15,:01,15:01:00,30.89995,-88.08878
33491,16,330,16330,25.11.2016,16,:01,16:01:00,30.8975,-88.10032
33491,16,330,16330,25.11.2016,17,:00,17:00:00,30.90019,-88.1096
33491,16,330,16330,25.11.2016,18,:00,18:00:00,30.90006,-88.10955
33491,16,330,16330,25.11.2016,19,:00,19:00:00,30.901,-88.11193
33491,16,330,16330,25.11.2016,20,:00,20:00:00,30.8981,-88.11419
33491,16,330,16330,25.11.2016,21,:00,21:00:00,30.89521,-88.10488
33491,16,330,16330,25.11.2016,22,:00,22:00:00,30.89809,-88.10229
33491,16,330,16330,25.11.2016,23,:00,23:00:00,30.89803,-88.1025
33491,16,331,16331,26.11.2016,0,:00,0:00:00,30.89702,-88.10485
33491,16,331,16331,26.11.2016,1,:00,1:00:00,30.89714,-88.10454
33491,16,331,16331,26.11.2016,2,:00,2:00:00,30.89691,-88.10482
33491,16,331,16331,26.11.2016,3,:00,3:00:00,30.89695,-88.10491
33491,16,331,16331,26.11.2016,4,:00,4:00:00,30.89626,-88.10498
33491,16,331,16331,26.11.2016,5,:00,5:00:00,30.89797,-88.10227
33491,16,331,16331,26.11.2016,6,:01,6:01:00,30.89827,-88.10223
33491,16,331,16331,26.11.2016,7,:01,7:01:00,30.89735,-88.10037
33491,16,331,16331,26.11.2016,8,:00,8:00:00,30.89737,-88.10023
33491,16,331,16331,26.11.2016,9,:00,9:00:00,30.89762,-88.10039
33491,16,331,16331,26.11.2016,10,:01,10:01:00,30.89683,-88.09979
33491,16,331,16331,26.11.2016,11,:00,11:00:00,30.89759,-88.10044
33491,16,331,16331,26.11.2016,12,:01,12:01:00,30.89678,-88.10034
33491,16,331,16331,26.11.2016,13,:03,13:03:00,30.89827,-88.10472
33491,16,331,16331,26.11.2016,14,:01,14:01:00,30.90007,-88.10946
33491,16,331,16331,26.11.2016,15,:03,15:03:00,30.90024,-88.11004
33491,16,331,16331,26.11.2016,16,:00,16:00:00,30.90124,-88.11202
33491,16,331,16331,26.11.2016,17,:02,17:02:00,30.89773,-88.10884
33491,16,331,16331,26.11.2016,18,:02,18:02:00,30.89492,-88.10002
33491,16,331,16331,26.11.2016,19,:00,19:00:00,30.89744,-88.09246
33491,16,331,16331,26.11.2016,20,:01,20:01:00,30.89337,-88.08428
33491,16,331,16331,26.11.2016,21,:00,21:00:00,30.8934,-88.08436
33491,16,331,16331,26.11.2016,22,:00,22:00:00,30.89426,-88.0815
33491,16,331,16331,26.11.2016,23,:01,23:01:00,30.89817,-88.07449
33491,16,332,16332,27.11.2016,0,:00,0:00:00,30.90482,-88.07138
33491,16,332,16332,27.11.2016,1,:00,1:00:00,30.90464,-88.0667
33491,16,332,16332,27.11.2016,2,:00,2:00:00,30.90553,-88.06703
33491,16,332,16332,27.11.2016,3,:00,3:00:00,30.90561,-88.06713
33491,16,332,16332,27.11.2016,4,:00,4:00:00,30.90561,-88.06697
33491,16,332,16332,27.11.2016,6,:01,6:01:00,30.90559,-88.06713
33491,16,332,16332,27.11.2016,7,:00,7:00:00,30.90557,-88.06713
33491,16,332,16332,27.11.2016,8,:00,8:00:00,30.90567,-88.06704
33491,16,332,16332,27.11.2016,9,:01,9:01:00,30.90566,-88.0671
33491,16,332,16332,27.11.2016,10,:00,10:00:00,30.90533,-88.06731
33491,16,332,16332,27.11.2016,11,:00,11:00:00,30.90527,-88.06727
33491,16,332,16332,27.11.2016,12,:00,12:00:00,30.90565,-88.0671
33491,16,332,16332,27.11.2016,13,:00,13:00:00,30.90542,-88.06731
33491,16,332,16332,27.11.2016,14,:00,14:00:00,30.90551,-88.0671
33491,16,332,16332,27.11.2016,15,:00,15:00:00,30.9063,-88.06731
33491,16,332,16332,27.11.2016,16,:01,16:01:00,30.90693,-88.06607
33491,16,332,16332,27.11.2016,17,:00,17:00:00,30.90669,-88.0658
