bear,year,Column4,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33498,,,186,05.07.2015,,,0:00:00,30.88806,-88.07849
33498,,,186,05.07.2015,,,1:00:00,30.88875,-88.07704
33498,,,186,05.07.2015,,,2:01:00,30.88983,-88.07569
33498,,,186,05.07.2015,,,3:00:00,30.88981,-88.07559
33498,,,186,05.07.2015,,,4:02:00,30.88981,-88.07549
33498,,,186,05.07.2015,,,5:00:00,30.88973,-88.0753
33498,,,186,05.07.2015,,,6:01:00,30.88978,-88.07541
33498,,,187,06.07.2015,,,0:00:00,30.8898,-88.0755
33498,,,187,06.07.2015,,,1:00:00,30.88976,-88.07556
33498,,,187,06.07.2015,,,2:00:00,30.88966,-88.07563
33498,,,187,06.07.2015,,,3:01:00,30.88964,-88.07569
33498,,,187,06.07.2015,,,4:01:00,30.88975,-88.07561
33498,,,187,06.07.2015,,,5:02:00,30.88978,-88.0755
33498,,,187,06.07.2015,,,6:00:00,30.88861,-88.07432
33498,,,187,06.07.2015,,,7:01:00,30.88801,-88.07492
33498,,,187,06.07.2015,,,8:00:00,30.88604,-88.07518
33498,,,187,06.07.2015,,,9:00:00,30.88443,-88.07768
33498,,,187,06.07.2015,,,10:00:00,30.88446,-88.07775
33498,,,187,06.07.2015,,,11:01:00,30.8844,-88.0778
33498,,,187,06.07.2015,,,12:00:00,30.88459,-88.07762
33498,,,187,06.07.2015,,,13:02:00,30.88579,-88.07778
33498,,,187,06.07.2015,,,14:02:00,30.88576,-88.07777
33498,,,187,06.07.2015,,,15:00:00,30.88554,-88.07962
33498,,,187,06.07.2015,,,16:00:00,30.88561,-88.07751
33498,,,187,06.07.2015,,,17:00:00,30.8858,-88.07776
33498,,,187,06.07.2015,,,18:00:00,30.88578,-88.07775
33498,,,187,06.07.2015,,,19:00:00,30.88583,-88.07772
33498,,,187,06.07.2015,,,20:00:00,30.88582,-88.07764
33498,,,187,06.07.2015,,,21:00:00,30.88569,-88.07765
33498,,,187,06.07.2015,,,22:00:00,30.88576,-88.07772
33498,,,188,07.07.2015,,,0:00:00,30.88597,-88.07743
33498,,,188,07.07.2015,,,1:00:00,30.8857,-88.07747
33498,,,188,07.07.2015,,,2:00:00,30.88581,-88.07764
33498,,,188,07.07.2015,,,3:00:00,30.88572,-88.07755
33498,,,188,07.07.2015,,,4:00:00,30.88588,-88.07765
