bear,year,day,Julian_date,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33501,16,219,16219,06.08.2016,0,:02,0:02:00,30.89877,-88.10417
33501,16,219,16219,06.08.2016,1,:02,1:02:00,30.89922,-88.09775
33501,16,219,16219,06.08.2016,2,:02,2:02:00,30.90372,-88.09474
33501,16,219,16219,06.08.2016,3,:02,3:02:00,30.90446,-88.09274
33501,16,219,16219,06.08.2016,4,:02,4:02:00,30.90687,-88.09081
33501,16,219,16219,06.08.2016,5,:02,5:02:00,30.90847,-88.09273
33501,16,219,16219,06.08.2016,6,:02,6:02:00,30.91065,-88.09265
33501,16,219,16219,06.08.2016,7,:02,7:02:00,30.91327,-88.09455
33501,16,219,16219,06.08.2016,8,:02,8:02:00,30.91613,-88.09403
33501,16,219,16219,06.08.2016,9,:02,9:02:00,30.92703,-88.09357
33501,16,219,16219,06.08.2016,10,:02,10:02:00,30.92913,-88.09561
33501,16,219,16219,06.08.2016,11,:02,11:02:00,30.92909,-88.09577
33501,16,219,16219,06.08.2016,12,:02,12:02:00,30.92882,-88.09596
33501,16,219,16219,06.08.2016,13,:02,13:02:00,30.92985,-88.09627
33501,16,219,16219,06.08.2016,14,:02,14:02:00,30.92874,-88.09568
33501,16,219,16219,06.08.2016,15,:02,15:02:00,30.92883,-88.09568
33501,16,219,16219,06.08.2016,16,:02,16:02:00,30.92914,-88.09597
33501,16,219,16219,06.08.2016,17,:02,17:02:00,30.9214,-88.0997
33501,16,219,16219,06.08.2016,18,:02,18:02:00,30.9205,-88.09923
33501,16,219,16219,06.08.2016,19,:02,19:02:00,30.91687,-88.09862
33501,16,219,16219,06.08.2016,20,:02,20:02:00,30.91346,-88.10226
33501,16,219,16219,06.08.2016,21,:02,21:02:00,30.91307,-88.1067
33501,16,220,16220,07.08.2016,0,:13,0:13:00,30.91285,-88.10687
33501,16,220,16220,07.08.2016,1,:13,1:13:00,30.91284,-88.10677
33501,16,220,16220,07.08.2016,2,:13,2:13:00,30.91289,-88.10679
33501,16,220,16220,07.08.2016,3,:13,3:13:00,30.91285,-88.10684
33501,16,220,16220,07.08.2016,4,:13,4:13:00,30.91248,-88.10662
33501,16,220,16220,07.08.2016,5,:13,5:13:00,30.91282,-88.10677
33501,16,220,16220,07.08.2016,6,:13,6:13:00,30.91274,-88.10691
33501,16,220,16220,07.08.2016,7,:13,7:13:00,30.91261,-88.10836
33501,16,220,16220,07.08.2016,8,:13,8:13:00,30.91245,-88.10794
33501,16,220,16220,07.08.2016,9,:13,9:13:00,30.91254,-88.10797
33501,16,220,16220,07.08.2016,10,:13,10:13:00,30.91256,-88.10801
33501,16,220,16220,07.08.2016,11,:13,11:13:00,30.91258,-88.10803
33501,16,220,16220,07.08.2016,12,:13,12:13:00,30.91257,-88.1079
33501,16,220,16220,07.08.2016,13,:13,13:13:00,30.91197,-88.10723
33501,16,220,16220,07.08.2016,14,:13,14:13:00,30.9141,-88.1048
33501,16,220,16220,07.08.2016,15,:13,15:13:00,30.91426,-88.10484
33501,16,220,16220,07.08.2016,16,:13,16:13:00,30.91423,-88.10474
33501,16,220,16220,07.08.2016,17,:13,17:13:00,30.91419,-88.10463
33501,16,220,16220,07.08.2016,18,:13,18:13:00,30.91558,-88.10395
33501,16,220,16220,07.08.2016,19,:13,19:13:00,30.91585,-88.1008
33501,16,220,16220,07.08.2016,20,:13,20:13:00,30.91526,-88.09835
33501,16,220,16220,07.08.2016,21,:13,21:13:00,30.92366,-88.09467
33501,16,221,16221,08.08.2016,0,:12,0:12:00,30.92827,-88.09662
33501,16,221,16221,08.08.2016,1,:12,1:12:00,30.92691,-88.09212
33501,16,221,16221,08.08.2016,2,:12,2:12:00,30.93433,-88.0939
33501,16,221,16221,08.08.2016,3,:12,3:12:00,30.93468,-88.09461
33501,16,221,16221,08.08.2016,4,:12,4:12:00,30.93849,-88.09718
33501,16,221,16221,08.08.2016,5,:12,5:12:00,30.92687,-88.10122
33501,16,221,16221,08.08.2016,6,:12,6:12:00,30.92627,-88.10173
33501,16,221,16221,08.08.2016,7,:12,7:12:00,30.92653,-88.10146
33501,16,221,16221,08.08.2016,8,:12,8:12:00,30.92702,-88.10131
33501,16,221,16221,08.08.2016,9,:12,9:12:00,30.92655,-88.10133
33501,16,221,16221,08.08.2016,10,:12,10:12:00,30.92072,-88.1042
33501,16,221,16221,08.08.2016,11,:12,11:12:00,30.9132,-88.10807
33501,16,221,16221,08.08.2016,12,:12,12:12:00,30.91044,-88.10762
33501,16,221,16221,08.08.2016,13,:12,13:12:00,30.9104,-88.10754
33501,16,221,16221,08.08.2016,14,:12,14:12:00,30.9109,-88.1073
33501,16,221,16221,08.08.2016,15,:12,15:12:00,30.91081,-88.10727
33501,16,221,16221,08.08.2016,16,:12,16:12:00,30.9108,-88.10734
33501,16,221,16221,08.08.2016,17,:12,17:12:00,30.914,-88.10411
33501,16,221,16221,08.08.2016,18,:12,18:12:00,30.9145,-88.10019
33501,16,221,16221,08.08.2016,19,:12,19:12:00,30.91357,-88.09717
33501,16,221,16221,08.08.2016,20,:12,20:12:00,30.91062,-88.09229
33501,16,221,16221,08.08.2016,21,:12,21:12:00,30.91006,-88.09115
33501,16,222,16222,09.08.2016,0,:12,0:12:00,30.91497,-88.09418
33501,16,222,16222,09.08.2016,1,:12,1:12:00,30.92788,-88.093
33501,16,222,16222,09.08.2016,2,:12,2:12:00,30.92848,-88.09381
33501,16,222,16222,09.08.2016,3,:12,3:12:00,30.92831,-88.09369
33501,16,222,16222,09.08.2016,4,:12,4:12:00,30.9284,-88.09369
33501,16,222,16222,09.08.2016,5,:12,5:12:00,30.92853,-88.09371
33501,16,222,16222,09.08.2016,6,:12,6:12:00,30.92848,-88.09366
33501,16,222,16222,09.08.2016,7,:12,7:12:00,30.92848,-88.09379
33501,16,222,16222,09.08.2016,8,:12,8:12:00,30.92846,-88.09369
33501,16,222,16222,09.08.2016,9,:12,9:12:00,30.92867,-88.09387
33501,16,222,16222,09.08.2016,10,:12,10:12:00,30.92846,-88.09371
33501,16,222,16222,09.08.2016,11,:12,11:12:00,30.92304,-88.09952
33501,16,222,16222,09.08.2016,12,:12,12:12:00,30.91621,-88.09571
33501,16,222,16222,09.08.2016,13,:12,13:12:00,30.91615,-88.09282
33501,16,222,16222,09.08.2016,14,:12,14:12:00,30.91709,-88.09378
33501,16,222,16222,09.08.2016,15,:12,15:12:00,30.91626,-88.09403
33501,16,222,16222,09.08.2016,16,:12,16:12:00,30.91632,-88.09414
33501,16,222,16222,09.08.2016,17,:12,17:12:00,30.91635,-88.09403
33501,16,222,16222,09.08.2016,18,:12,18:12:00,30.91622,-88.09414
33501,16,222,16222,09.08.2016,19,:12,19:12:00,30.91604,-88.09404
33501,16,222,16222,09.08.2016,20,:12,20:12:00,30.91473,-88.09433
33501,16,222,16222,09.08.2016,21,:12,21:12:00,30.91349,-88.09047
33501,16,223,16223,10.08.2016,0,:15,0:15:00,30.90577,-88.09174
33501,16,223,16223,10.08.2016,1,:15,1:15:00,30.89907,-88.0987
33501,16,223,16223,10.08.2016,2,:15,2:15:00,30.89857,-88.10267
33501,16,223,16223,10.08.2016,3,:15,3:15:00,30.89913,-88.10276
33501,16,223,16223,10.08.2016,4,:15,4:15:00,30.89956,-88.10373
33501,16,223,16223,10.08.2016,5,:15,5:15:00,30.9039,-88.10686
33501,16,223,16223,10.08.2016,6,:15,6:15:00,30.90392,-88.10695
33501,16,223,16223,10.08.2016,7,:15,7:15:00,30.90385,-88.10688
33501,16,223,16223,10.08.2016,8,:15,8:15:00,30.90387,-88.10691
33501,16,223,16223,10.08.2016,9,:15,9:15:00,30.90927,-88.10688
33501,16,223,16223,10.08.2016,10,:15,10:15:00,30.91288,-88.10911
33501,16,223,16223,10.08.2016,11,:15,11:15:00,30.91037,-88.10752
33501,16,223,16223,10.08.2016,12,:15,12:15:00,30.91,-88.10044
33501,16,223,16223,10.08.2016,13,:15,13:15:00,30.91239,-88.0986
33501,16,223,16223,10.08.2016,14,:15,14:15:00,30.91259,-88.09873
33501,16,223,16223,10.08.2016,15,:15,15:15:00,30.914,-88.09887
33501,16,223,16223,10.08.2016,16,:15,16:15:00,30.91555,-88.10001
33501,16,223,16223,10.08.2016,17,:15,17:15:00,30.91487,-88.10157
33501,16,223,16223,10.08.2016,18,:15,18:15:00,30.91479,-88.10453
33501,16,223,16223,10.08.2016,19,:15,19:15:00,30.91651,-88.10438
33501,16,223,16223,10.08.2016,20,:15,20:15:00,30.90719,-88.09274
33501,16,223,16223,10.08.2016,21,:15,21:15:00,30.89961,-88.09764
33501,16,224,16224,11.08.2016,0,:13,0:13:00,30.89956,-88.09872
33501,16,224,16224,11.08.2016,1,:13,1:13:00,30.89948,-88.09898
33501,16,224,16224,11.08.2016,2,:13,2:13:00,30.89949,-88.09883
33501,16,224,16224,11.08.2016,3,:13,3:13:00,30.89929,-88.09881
33501,16,224,16224,11.08.2016,4,:13,4:13:00,30.89953,-88.09912
33501,16,224,16224,11.08.2016,5,:13,5:13:00,30.89955,-88.09872
33501,16,224,16224,11.08.2016,6,:13,6:13:00,30.89953,-88.09884
33501,16,224,16224,11.08.2016,7,:13,7:13:00,30.8995,-88.09878
33501,16,224,16224,11.08.2016,8,:13,8:13:00,30.89949,-88.09888
33501,16,224,16224,11.08.2016,9,:13,9:13:00,30.90014,-88.09841
33501,16,224,16224,11.08.2016,10,:13,10:13:00,30.89765,-88.09862
33501,16,224,16224,11.08.2016,11,:13,11:13:00,30.89779,-88.10126
33501,16,224,16224,11.08.2016,12,:13,12:13:00,30.89885,-88.10264
33501,16,224,16224,11.08.2016,13,:13,13:13:00,30.90081,-88.10243
33501,16,224,16224,11.08.2016,14,:13,14:13:00,30.90084,-88.10244
