bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33503,15,286,15286,13.10.2015,23,:02,23:02:00,31.40832,-88.27343
33503,15,287,15287,14.10.2015,0,:00,0:00:00,31.4093,-88.27571
33503,15,287,15287,14.10.2015,1,:00,1:00:00,31.40875,-88.27603
33503,15,287,15287,14.10.2015,2,:00,2:00:00,31.40775,-88.27693
33503,15,287,15287,14.10.2015,3,:01,3:01:00,31.40774,-88.27713
33503,15,287,15287,14.10.2015,5,:00,5:00:00,31.40775,-88.277
33503,15,287,15287,14.10.2015,6,:00,6:00:00,31.40921,-88.27551
33503,15,287,15287,14.10.2015,7,:01,7:01:00,31.40514,-88.27629
33503,15,287,15287,14.10.2015,8,:00,8:00:00,31.40543,-88.27476
33503,15,287,15287,14.10.2015,9,:00,9:00:00,31.40527,-88.27481
33503,15,287,15287,14.10.2015,10,:03,10:03:00,31.40515,-88.27474
33503,15,287,15287,14.10.2015,11,:03,11:03:00,31.40628,-88.27507
33503,15,287,15287,14.10.2015,12,:00,12:00:00,31.40631,-88.27523
33503,15,287,15287,14.10.2015,13,:02,13:02:00,31.40624,-88.27515
33503,15,287,15287,14.10.2015,14,:00,14:00:00,31.40931,-88.27547
33503,15,287,15287,14.10.2015,15,:00,15:00:00,31.40837,-88.27262
33503,15,287,15287,14.10.2015,17,:01,17:01:00,31.40884,-88.27545
33503,15,287,15287,14.10.2015,18,:00,18:00:00,31.40917,-88.27539
33503,15,287,15287,14.10.2015,20,:01,20:01:00,31.40792,-88.2772
33503,15,287,15287,14.10.2015,23,:01,23:01:00,31.40795,-88.27707
33503,15,288,15288,15.10.2015,0,:00,0:00:00,31.40789,-88.27716
33503,15,288,15288,15.10.2015,1,:00,1:00:00,31.40901,-88.27532
33503,15,288,15288,15.10.2015,2,:00,2:00:00,31.40928,-88.27534
33503,15,288,15288,15.10.2015,3,:00,3:00:00,31.40875,-88.27547
33503,15,288,15288,15.10.2015,4,:00,4:00:00,31.40875,-88.27547
33503,15,288,15288,15.10.2015,5,:00,5:00:00,31.40925,-88.27557
33503,15,288,15288,15.10.2015,6,:00,6:00:00,31.40878,-88.27565
33503,15,288,15288,15.10.2015,8,:01,8:01:00,31.40699,-88.27243
33503,15,288,15288,15.10.2015,9,:03,9:03:00,31.40697,-88.27249
33503,15,288,15288,15.10.2015,10,:01,10:01:00,31.40701,-88.27239
33503,15,288,15288,15.10.2015,12,:02,12:02:00,31.40707,-88.27246
33503,15,288,15288,15.10.2015,13,:00,13:00:00,31.40677,-88.27208
33503,15,288,15288,15.10.2015,14,:02,14:02:00,31.40697,-88.27252
33503,15,288,15288,15.10.2015,15,:00,15:00:00,31.40918,-88.27557
33503,15,288,15288,15.10.2015,16,:00,16:00:00,31.40892,-88.27543
