bear,year,day,julinaday,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33505,15,287,15287,14.10.2015,1,:01,1:01:00,31.4046,-88.26466
33505,15,287,15287,14.10.2015,2,:02,2:02:00,31.40457,-88.26495
33505,15,287,15287,14.10.2015,3,:03,3:03:00,31.40469,-88.26476
33505,15,287,15287,14.10.2015,4,:00,4:00:00,31.40452,-88.26501
33505,15,287,15287,14.10.2015,5,:00,5:00:00,31.40437,-88.26493
33505,15,287,15287,14.10.2015,6,:00,6:00:00,31.40466,-88.26473
33505,15,287,15287,14.10.2015,9,:03,9:03:00,31.38986,-88.26617
33505,15,287,15287,14.10.2015,10,:00,10:00:00,31.38745,-88.26641
33505,15,287,15287,14.10.2015,11,:03,11:03:00,31.38727,-88.26642
33505,15,287,15287,14.10.2015,12,:01,12:01:00,31.3863,-88.2734
33505,15,287,15287,14.10.2015,13,:00,13:00:00,31.38151,-88.27214
33505,15,287,15287,14.10.2015,14,:01,14:01:00,31.37987,-88.2715
33505,15,287,15287,14.10.2015,15,:00,15:00:00,31.37998,-88.27147
33505,15,287,15287,14.10.2015,16,:00,16:00:00,31.38001,-88.26706
33505,15,287,15287,14.10.2015,17,:01,17:01:00,31.37495,-88.26391
33505,15,287,15287,14.10.2015,18,:00,18:00:00,31.37196,-88.258
33505,15,287,15287,14.10.2015,19,:01,19:01:00,31.37113,-88.25647
33505,15,287,15287,14.10.2015,21,:00,21:00:00,31.36696,-88.25608
33505,15,287,15287,14.10.2015,22,:00,22:00:00,31.3582,-88.26863
33505,15,287,15287,14.10.2015,23,:00,23:00:00,31.35709,-88.26873
33505,15,288,15288,15.10.2015,0,:00,0:00:00,31.35877,-88.2657
33505,15,288,15288,15.10.2015,1,:01,1:01:00,31.36319,-88.25932
33505,15,288,15288,15.10.2015,2,:00,2:00:00,31.36334,-88.25931
33505,15,288,15288,15.10.2015,3,:00,3:00:00,31.36341,-88.25913
33505,15,288,15288,15.10.2015,4,:00,4:00:00,31.36328,-88.25914
33505,15,288,15288,15.10.2015,6,:02,6:02:00,31.36322,-88.25938
33505,15,288,15288,15.10.2015,7,:00,7:00:00,31.36334,-88.25936
33505,15,288,15288,15.10.2015,8,:01,8:01:00,31.3633,-88.25929
