bear,year,day,juliandate,GMT.Date,hours,minutes,GMT.Time,Latitude,Longitude
33506,16,222,16222,08.09.2016,14,:03,14:03:00,30.93054,-88.06073
33506,16,222,16222,08.09.2016,15,:03,15:03:00,30.93076,-88.06027
33506,16,222,16222,08.09.2016,18,:01,18:01:00,30.93078,-88.0604
33506,16,222,16222,08.09.2016,19,:00,19:00:00,30.93076,-88.06034
33506,16,222,16222,08.09.2016,20,:00,20:00:00,30.93076,-88.06037
33506,16,222,16222,08.09.2016,21,:01,21:01:00,30.93075,-88.06059
33506,16,222,16222,08.09.2016,22,:00,22:00:00,30.93079,-88.06038
33506,16,222,16222,08.09.2016,23,:00,23:00:00,30.93073,-88.06034
33506,16,223,16223,08.10.2016,2,:01,2:01:00,30.93076,-88.06034
33506,16,223,16223,08.10.2016,3,:01,3:01:00,30.9308,-88.06036
33506,16,223,16223,08.10.2016,4,:00,4:00:00,30.9308,-88.06037
33506,16,223,16223,08.10.2016,5,:01,5:01:00,30.93101,-88.06015
33506,16,223,16223,08.10.2016,6,:01,6:01:00,30.93251,-88.06137
33506,16,223,16223,08.10.2016,7,:00,7:00:00,30.93584,-88.06802
33506,16,223,16223,08.10.2016,8,:00,8:00:00,30.93918,-88.06767
33506,16,223,16223,08.10.2016,9,:01,9:01:00,30.93577,-88.07625
33506,16,223,16223,08.10.2016,10,:01,10:01:00,30.92936,-88.07434
33506,16,223,16223,08.10.2016,11,:01,11:01:00,30.92092,-88.07112
33506,16,223,16223,08.10.2016,13,:01,13:01:00,30.92063,-88.07
33506,16,223,16223,08.10.2016,14,:00,14:00:00,30.92103,-88.0698
33506,16,223,16223,08.10.2016,15,:00,15:00:00,30.92095,-88.06909
33506,16,223,16223,08.10.2016,16,:01,16:01:00,30.92105,-88.06925
33506,16,223,16223,08.10.2016,17,:00,17:00:00,30.91944,-88.06593
33506,16,223,16223,08.10.2016,18,:00,18:00:00,30.9167,-88.06152
33506,16,223,16223,08.10.2016,19,:00,19:00:00,30.91666,-88.04838
33506,16,223,16223,08.10.2016,20,:01,20:01:00,30.91882,-88.0363
33506,16,223,16223,08.10.2016,21,:00,21:00:00,30.9188,-88.03627
33506,16,223,16223,08.10.2016,22,:00,22:00:00,30.91877,-88.03617
33506,16,223,16223,08.10.2016,23,:00,23:00:00,30.91932,-88.03626
33506,16,224,16224,08.11.2016,0,:00,0:00:00,30.92744,-88.03823
